formula,target
PtC,1.9953836506249996
CdC,2.1030478831250004
CdC,1.9835657181250004
AuN,1.5288500038099997
AgC,2.235058755625
AuC,2.245312625625
AgC,2.2577964756249997
PtC,1.563910145625
AgN,1.5378644238100003
AgN,1.5329490188100006
C3N,2.0212696978425013
C3N,1.7946040403425005
IrC,1.6755006356249993
Er3InC,1.6055141085833333
Ho3InC,1.596624090583333
O2,1.56497783875
Cu,1.9421013800000004
NaB,1.8501968391666668
IN,2.39533922381
KC,2.315763816625
NCl,1.9806901121800005
O2,1.9543089287500002
IN,1.8301866338100004
BrN,2.0692863038100002
O2,1.67560344375
TlC,2.3657735381249996
KB,2.0830231926666665
CsB,2.222233088563218
RbB,2.1898440214942525
NaN3,2.4517666694650004
KC,2.3160371891250002
KC,2.3160994441250002
Rb3Re,1.6143951603663789
O2,1.6790399737500001
VC3,2.2542452384375
Cu(BrN)2,1.5343421790480007
Ce3InC,1.8114241435833343
Mn3CuN,1.6628169615240012
ThCo5,2.363049625000001
Ca(IN3)2,1.5998183128577788
C3N4,2.3871840334614283
Co(IN2)3,1.902425982572001
SbS4N3,1.69759418020125
PtN4Cl2O,2.0900481115887506
Cd(IN)4,1.9372153783866668
Co(N3Cl)2,2.3614666721333344
C3IN,1.8139833072740004
Cu(BrN3)2,2.2741714995244453
Ru(IN3)2,2.2760815056355557
Ru(N3Cl)2,2.3245032704666673
KSnN3,1.6728471719720006
B9N,2.2499281717619994
Mg(BrN3)2,1.867376482857778
Co(IN3)2,2.1748964706355562
Co(N2Cl)3,2.3085600695940003
K2SnN6,1.9059329227466673
K2Re,1.9838011921666672
Ni(N3Cl)2,2.481881529911112
K2Tc,1.5629280946666668
HfGeRh2,2.0661192225000002
CaRh2Pb,1.9425559125
YAg2Pb,1.6806366499999998
Y2AlHg,2.06235679
Sc2TlZn,2.0094312624999997
MgPd2Au,1.6131277075000003
Al2OsPt,2.31959183125
HfGaPd2,1.8077253137499998
ZrMnRh2,2.35567174
Y2CdPd,1.8033928562500003
YZn2Pd,1.6842009549999994
LiFePt2,1.8369209200000003
Y2CdIn,1.9965605854166668
Mg2IrPd,1.9535454325
Li2YIn,1.6939029141666666
ZrCuAu2,1.7939629850000003
LiCu2Ni,1.92357536
Y2ZnCu,2.25125294375
Y2IrPt,1.6458070200000003
ScCu2Hg,1.5801379874999997
La2GaCu,1.8521129574999997
LiY2Tl,2.0707330862499997
Y2IrAu,1.6560127199999997
Y2AgHg,1.8919919425000007
Cu2PtAu,2.0193267475
Cu2AgAu,1.6556758075000004
Al2TcPt,2.2258126024999996
BeFePt2,2.18554586375
MnAl2Fe,2.402177637500001
LiGe2Rh,1.6487198899999997
NaY2Pb,1.8390628987500004
LaMg2Cd,1.5535102137499999
MgGaCo2,2.1664741225000004
LiScRh2,1.817160475
Sc2CoNi,2.2616470500000005
Sc2CdRu,1.9663626924999997
SnRh2Au,2.1419742312499994
MgZnNi2,1.90190739125
MnZnNi2,2.15646410375
MnPd2Au,1.9358663925
Y2CuHg,2.0406778450000007
Y2CuNi,2.1538141250000007
LaYTl2,1.8347940275
TiGaCu2,2.093032430833333
MgCrPt2,1.9125894049999999
MgSc2Zn,2.17356384125
BeAlPd2,1.5424426412500005
LiLa2In,2.0214485866666667
HfTlAu2,1.5734045875000002
Ca2MgAl,1.5244050775000002
LaYCd2,1.9978927325
Y2CoCu,2.2548907650000003
ScCu2Ag,1.822686315
Sc2AlHg,2.0457098175
TiBeAu2,1.747594152083333
Sc2AlIn,2.215390006666667
MgBe2Pt,1.7969751100000002
La2AgHg,1.8365388875000002
BiPd2Au,1.5330480687499994
HfPtAu2,2.10986294375
CdRh2Pb,2.0462950512500004
Y2PdAu,1.5292293249999998
CaYTl2,1.5748756025
ZrAgHg2,1.6175364550000002
ScAg2Sn,1.7036582012500001
CdFeRh2,2.4733849487499997
BeCuPd2,2.00520051375
CaHfRh2,1.88962968375
TiGeRh2,1.9956928270833325
CrSnRh2,2.442245583750001
ZrTiAu2,2.2262147133333334
MgZn2Ir,1.78388612
YTlRh2,1.6961503637499993
HfAgAu2,1.72404029375
MnGaPd2,1.5492614925000003
ScSi2Tc,2.4887634175000004
BeHPt2,1.8370810990950006
Y2CdHg,1.8580920162499999
Y2AgAu,1.7943639624999999
Al2CuIr,1.926219825
Ga2TcPd,1.9356089924999993
ZnSnRh2,1.9952733200000003
MgZrZn2,1.9377117650000002
YZn2Pt,1.7765258224999996
Sc2OsRh,2.4748901187500003
LiAgPd2,1.705748465
MnAl2Ir,2.3319255350000008
Y2CdAu,1.7580760612500002
TaInRh2,2.323900174166667
Li2ScIn,1.6528309566666666
LiCd2Ir,1.617264175
Sc2TlNi,2.0160685512500005
ZrCuRh2,2.2341300424999995
CdCu2Rh,1.9994397887499997
La2ZnCu,2.01189349125
La2HgPb,1.5695386449999997
Sc2InTc,2.386931649166667
MnZn2Rh,2.0310227950000006
Y2InPb,1.8610918516666666
CrGaRh2,2.35324959
TiBePt2,1.7995742520833335
HfGaCu2,2.40572911875
Sc2ZnCd,2.0227274600000005
BeCdPt2,1.7251881175000006
MgTiZn2,1.7576330608333333
Y2RuAu,1.8121926212499995
ZrZnAu2,1.5394507962500001
ZnCo2Sn,2.1445394
ZrAgAu2,1.684942125
MgZn2Rh,1.5528570975
YTiPd2,1.8910820083333322
CaInRh2,1.8411045291666661
La2MgZn,2.1545720362500003
La2AlZn,2.0671961712499995
AlZnNi2,1.9002302537499998
ZnAgPd2,1.67180640875
Li2LaAl,1.9190055350000002
ZrCdPt2,1.52952276625
LiLa2Tl,1.9807033312499995
Y2GePd,1.6602578462499995
Sc2ZnNi,2.1021535887500002
LaZnAg2,1.5797105012500001
TiCuRh2,2.150250923333333
Y2HgIr,1.7777018149999995
Sc2GaCo,2.1516806925
BeGaPt2,1.58183590875
Mg2NiPt,1.6518190299999995
Be2AgPt,1.7737603825000003
Ga2CoNi,1.8079757600000002
Y2CoIr,2.3385856375000005
GaCuPd2,1.5509351674999996
Be2PdAu,1.5848008475
YScHg2,1.70054023
Sc2InCu,2.142933866666666
MgTiCo2,2.3045014683333336
Al2CuRh,1.7688957800000007
Y2ZnPt,1.7204485162500003
LiScGa2,1.5866947300000003
CrTcGe2,2.4318984575
Y2CdIr,1.9009449912500003
Sc2GaHg,1.8612472725
Y2FePd,2.1655885274999997
La2MgIn,2.057248429166667
AgPd2Au,2.04156147
HfMg,2.1575735074999995
HfMg,1.6235773174999997
ZrScRh2,2.188793884999999
Sc2BeTl,2.41526448
CuAgPd2,2.1585995875
YScZn2,2.1111719300000003
BeGeRh2,2.2839750249999997
ZrGaCo2,2.3966126725
Sc2CuAg,2.140529115
LiY2Pb,1.9313409175
Sc2ZnPd,1.8499286662499999
LiSc2Al,2.3017234650000002
La2TlAg,1.80608420625
YRh2Pb,1.8218408275
MnGaCu2,1.7690988975000006
Al2OsPd,2.31503530125
Y2ZnCd,2.0665786425000006
AlGaNi2,1.7947046675
La2ZnHg,2.05770194625
Be2CoCu,2.3797385574999996
Y2AlAg,2.2410428499999995
Sc2ZnIn,2.053109690416667
Y2CuAu,1.9109405274999998
Be2PtAu,1.5979577375000003
ZnCdRh2,2.109772995
CuNiPd2,2.4036810699999993
Y2ZnHg,1.9167531262500002
MgMnPd2,1.648204562500001
Y2InPd,1.8214307216666663
Y2IrRu,2.3598680112499997
LiY2Ga,2.0607412375000003
YScPd2,1.5848106724999997
InNi2Au,1.8736728491666663
Zr2PtRh,2.4543902949999996
Zn2AgIr,1.84167119
Al2FePt,1.8232158899999997
MnCdPd2,1.6097625787500003
ZrGaIr2,2.218476665
TiBeNi2,2.4656556120833333
Mg2IrPt,2.0477721575
Sc2CuNi,2.1153434375000004
Y2CuPd,1.8944669025
BeCo2P,2.359800383214286
LaYZn2,2.1561774825
LiSc2Ga,2.11383115
HfSnAu2,1.8108390600000006
Y2CdAg,2.0487559837500005
MgZrAg2,1.9799437350000002
LiZnPt2,1.6588889787500003
Sc2AgPd,1.7614758849999999
Al2CuNi,1.7289601050000005
La2CdIr,1.52661660375
Sc2GaRh,1.8337986700000002
Y2BePb,2.3266471462500005
ScZnIr2,2.25448274875
MnZn2Pt,1.7184079775
ScFeRh2,2.3495990099999986
LiY2Tc,2.3829906624999997
Al2CoRh,2.18806397
HfCdPd2,1.6203286774999994
Ti2ZnIr,2.486582060416666
Sc2GePd,1.6439922987499997
Y2ZnGa,2.069405716250001
